"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2024","4,136.00","3,997.00","4,149.90","3,990.00","4.47M","4.09%"
"02/05/2024","3,973.30","3,983.00","4,022.00","3,962.10","1.69M","0.18%"
"02/02/2024","3,966.30","3,875.05","3,984.40","3,872.00","2.83M","2.91%"
"02/01/2024","3,854.15","3,820.00","3,904.90","3,805.05","2.36M","1.00%"
"01/31/2024","3,815.95","3,811.20","3,834.00","3,796.45","2.46M","0.41%"
"01/30/2024","3,800.55","3,807.45","3,847.80","3,787.00","1.41M","-0.01%"
"01/29/2024","3,801.00","3,800.80","3,820.00","3,780.85","1.65M","-0.24%"
"01/25/2024","3,810.30","3,839.90","3,861.00","3,778.70","2.21M","-0.82%"
"01/24/2024","3,841.80","3,880.00","3,883.65","3,805.60","2.66M","-0.43%"
"01/23/2024","3,858.25","3,900.00","3,933.90","3,842.75","2.62M","-0.06%"
"01/20/2024","3,860.65","3,948.00","3,955.65","3,855.55","516.48K","-2.09%"
"01/19/2024","3,943.05","3,945.00","3,963.55","3,915.05","2.94M","1.50%"
"01/18/2024","3,884.60","3,880.02","3,890.77","3,844.19","2.24M","0.46%"
"01/17/2024","3,866.68","3,801.39","3,891.92","3,794.97","3.46M","0.60%"
"01/16/2024","3,843.49","3,881.02","3,881.02","3,837.77","1.43M","-1.09%"
"01/15/2024","3,885.80","3,941.74","3,946.71","3,867.08","2.80M","0.54%"
"01/12/2024","3,864.89","3,830.25","3,887.24","3,803.98","6.81M","3.94%"
"01/11/2024","3,718.32","3,706.82","3,755.60","3,689.90","1.78M","0.61%"
"01/10/2024","3,695.93","3,672.98","3,712.05","3,670.99","1.29M","0.63%"
"01/09/2024","3,672.88","3,692.84","3,735.04","3,665.76","1.37M","0.32%"
"01/08/2024","3,661.34","3,720.66","3,722.50","3,655.46","1.07M","-1.59%"
"01/05/2024","3,720.66","3,658.05","3,730.47","3,657.90","1.96M","1.94%"
